id,valor,peso,volumen,categoria
1361,900,83,79,4
1362,783,30,46,2
1363,404,16,31,5
1364,75,72,23,5
1365,254,61,49,3
1366,750,6,48,4
1367,67,59,96,5
1368,944,24,79,3
1369,992,66,55,4
1370,964,57,8,4
1371,372,21,23,4
1372,204,62,15,5
1373,626,85,79,2
1374,583,28,15,5
1375,813,53,64,5
1376,394,17,68,4
1377,267,81,35,5
1378,919,34,30,4
1379,475,54,90,1
1380,711,69,7,4
1381,155,94,1,3
1382,635,24,45,1
1383,143,42,96,2
1384,534,77,25,2
1385,506,95,68,5
1386,85,63,28,5
1387,809,77,46,3
1388,551,19,44,3
1389,53,57,17,5
1390,451,49,21,5
1391,59,68,85,1
1392,982,100,80,3
1393,856,40,25,4
1394,961,11,20,4
1395,952,50,100,3
1396,715,96,99,3
1397,574,22,26,3
1398,443,92,60,1
1399,82,22,63,1
1400,982,2,20,5
1401,795,74,91,2
1402,945,70,97,2
1403,526,96,98,5
1404,760,40,17,5
1405,482,78,72,2
1406,255,24,65,3
1407,670,79,17,5
1408,569,77,78,5
1409,504,61,2,5
1410,18,79,36,2
1411,927,56,23,5
1412,638,5,23,5
1413,328,18,85,3
1414,732,81,10,2
1415,434,25,3,3
1416,486,90,67,1
1417,127,91,29,1
1418,404,100,92,5
1419,994,50,5,3
1420,764,49,38,4
1421,398,10,76,1
1422,920,6,96,3
1423,581,28,36,4
1424,790,100,26,2
1425,568,58,36,3
1426,660,85,25,5
1427,199,88,92,5
1428,110,3,51,5
1429,228,76,4,2
1430,45,96,18,1
1431,868,68,29,2
1432,951,44,59,4
1433,442,57,59,3
1434,522,33,76,5
1435,289,15,36,3
1436,896,91,95,5
1437,894,41,42,4
1438,783,83,48,5
1439,503,55,21,2
1440,595,26,19,2
1441,338,60,86,1
1442,215,64,8,2
1443,78,30,95,5
1444,512,47,41,1
1445,813,83,84,1
1446,339,73,70,4
1447,774,36,66,5
1448,160,52,88,3
1449,544,5,29,2
1450,431,94,4,2
1451,136,55,77,3
1452,10,60,42,1
1453,527,37,6,4
1454,974,21,23,2
1455,311,2,31,3
1456,238,89,1,1
1457,732,20,97,2
1458,232,74,67,4
1459,745,42,85,4
1460,428,61,31,5
1461,332,82,72,2
1462,819,28,19,1
1463,377,34,91,5
1464,809,41,99,2
1465,757,77,40,3
1466,595,15,67,2
1467,87,42,55,4
1468,712,3,17,2
1469,783,52,59,2
1470,953,63,5,3
1471,272,37,61,5
1472,303,64,72,1
1473,762,57,11,4
1474,519,71,51,1
1475,375,98,94,3
1476,830,16,70,1
1477,717,10,47,5
1478,922,13,70,1
1479,732,86,87,2
1480,281,4,81,1
1481,203,15,35,2
1482,342,67,98,1
1483,858,12,71,4
1484,730,68,57,3
1485,948,55,50,2
1486,387,49,17,3
1487,789,39,74,5
1488,390,2,3,4
1489,841,13,2,4
1490,707,62,98,5
1491,443,10,24,3
1492,708,51,82,4
1493,551,54,97,3
1494,61,43,51,2
1495,721,49,87,1
1496,187,97,81,4
1497,557,96,40,2
1498,140,88,87,5
1499,165,68,31,4
1500,297,32,88,5
1501,676,51,80,1
1502,258,32,63,5
1503,576,86,84,5
1504,907,63,2,2
1505,677,17,6,1
1506,553,2,29,2
1507,314,20,36,3
1508,625,94,34,3
1509,736,88,41,4
1510,77,25,79,2
1511,293,9,44,2
1512,689,68,34,1
1513,66,21,38,2
1514,945,99,65,4
1515,675,74,64,1
1516,207,79,42,4
1517,754,61,11,5
1518,285,33,28,5
1519,438,92,99,1
1520,76,46,52,5
1521,187,11,98,3
1522,122,98,41,3
1523,741,19,71,3
1524,428,21,35,3
1525,404,8,27,4
1526,213,52,49,4
1527,276,64,29,3
1528,660,69,97,1
1529,608,60,8,1
1530,84,93,96,1
1531,304,44,10,4
1532,603,46,63,1
1533,652,56,27,4
1534,24,71,97,2
1535,258,57,68,3
1536,710,68,62,3
1537,320,53,28,2
1538,602,1,87,1
1539,948,12,11,3
1540,163,62,95,2
1541,739,94,89,1
1542,210,78,59,4
1543,704,38,69,1
1544,414,63,2,2
1545,587,94,26,3
1546,456,94,96,2
1547,405,73,84,4
1548,196,74,68,2
1549,978,67,11,3
1550,18,75,44,2
1551,101,90,75,1
1552,916,81,44,5
1553,266,82,44,3
1554,726,44,1,5
1555,594,23,62,3
1556,641,68,25,4
1557,717,21,10,4
1558,207,82,88,1
1559,742,92,2,1
1560,256,36,22,1
1561,278,8,25,5
1562,71,36,46,3
1563,736,22,61,3
1564,676,60,9,2
1565,952,34,84,5
1566,807,39,83,3
1567,934,29,55,4
1568,208,40,62,3
1569,746,26,74,5
1570,526,30,7,4
1571,377,43,93,2
1572,589,80,54,2
1573,276,87,37,5
1574,897,86,67,1
1575,790,79,46,3
1576,634,88,25,4
1577,709,84,43,3
1578,448,54,65,1
1579,937,79,7,3
1580,827,51,30,4
1581,449,60,3,2
1582,308,60,51,3
1583,65,47,50,1
1584,928,22,11,2
1585,767,72,41,1
1586,659,41,27,5
1587,168,12,17,3
1588,79,79,19,5
1589,668,75,89,4
1590,816,83,69,3
1591,119,81,29,1
1592,317,93,25,3
1593,520,56,54,2
1594,363,75,36,1
1595,831,88,79,5
1596,315,22,92,5
1597,954,79,33,4
1598,361,38,51,2
1599,942,24,88,2
1600,111,91,40,1
1601,558,83,51,2
1602,202,53,86,4
1603,680,89,84,2
1604,861,47,75,3
1605,445,2,62,2
1606,168,46,68,3
1607,187,73,70,2
1608,237,49,12,3
1609,173,75,1,5
1610,722,54,74,4
1611,520,30,17,3
1612,92,35,2,3
1613,174,74,90,5
1614,249,13,36,4
1615,114,59,23,1
1616,524,22,61,2
1617,253,17,6,2
1618,397,27,24,2
1619,227,75,96,3
1620,620,99,56,3
1621,422,76,43,5
1622,546,68,70,3
1623,705,76,18,2
1624,505,33,42,3
1625,872,58,64,1
1626,537,95,12,4
1627,610,50,12,5
1628,344,44,15,5
1629,695,52,21,1
1630,398,77,90,4
1631,212,78,51,5
1632,425,78,2,4
1633,795,86,7,4
1634,479,41,57,5
1635,632,23,69,4
1636,260,89,1,4
1637,726,70,54,4
1638,838,47,83,5
1639,845,21,49,1
1640,340,29,80,3
1641,457,52,19,5
1642,857,41,89,3
1643,472,2,8,3
1644,394,65,81,1
1645,903,29,21,2
1646,76,5,88,3
1647,395,19,55,4
1648,969,85,7,3
1649,652,99,8,3
1650,382,52,81,5
1651,439,24,100,5
1652,564,5,33,3
1653,228,8,36,4
1654,379,61,7,4
1655,376,38,47,2
1656,726,5,66,2
1657,712,93,1,2
1658,225,84,67,5
1659,489,38,1,4
1660,807,10,78,1
1661,553,5,7,3
1662,769,43,59,3
1663,784,53,76,2
1664,805,68,52,4
1665,149,2,68,2
1666,624,72,75,2
1667,178,67,20,2
1668,892,40,75,1
1669,910,26,76,4
1670,601,44,66,4
1671,891,86,58,3
1672,636,76,16,2
1673,479,42,72,4
1674,278,39,21,3
1675,321,19,25,3
1676,222,87,43,5
1677,909,73,51,4
1678,196,56,8,3
1679,699,14,39,3
1680,824,46,66,5
1681,799,44,28,3
1682,696,54,27,4
1683,940,75,64,2
1684,331,53,27,5
1685,199,47,70,2
1686,226,66,60,5
1687,272,7,67,4
1688,817,83,78,3
1689,764,99,19,4
1690,97,78,70,4
1691,375,16,44,2
1692,40,47,26,2
1693,43,42,88,5
1694,251,83,56,4
1695,48,86,67,4
1696,330,43,90,2
1697,890,52,33,4
1698,902,44,100,4
1699,827,10,85,4
1700,256,82,58,4
1701,76,97,10,5
1702,999,91,33,5
1703,751,81,81,4
1704,860,1,100,3
1705,249,58,5,2
1706,417,32,14,5
1707,32,90,37,5
1708,786,41,57,1
1709,319,9,66,2
1710,239,2,2,1
1711,767,92,63,4
1712,765,31,4,1
1713,839,52,62,1
1714,568,94,63,3
1715,866,41,59,2
1716,585,7,100,4
1717,759,74,45,4
1718,711,14,39,3
1719,236,57,60,5
1720,929,38,93,2
1721,348,62,53,4
1722,219,47,100,3
1723,982,50,65,5
1724,807,47,72,5
1725,597,51,6,5
1726,460,84,68,2
1727,681,87,38,1
1728,943,93,17,4
1729,505,6,70,4
1730,700,98,65,1
1731,282,56,16,4
1732,640,82,60,3
1733,187,21,71,1
1734,461,58,67,3
1735,839,95,17,1
1736,28,69,78,1
1737,614,18,70,3
1738,840,46,81,4
1739,962,92,54,4
1740,494,96,41,5
1741,162,59,58,5
1742,284,65,93,1
1743,587,75,60,1
1744,361,60,6,4
1745,41,7,43,2
1746,93,92,61,4
1747,883,25,89,4
1748,663,60,22,3
1749,865,98,89,4
1750,204,38,74,5
1751,293,89,81,1
1752,998,21,4,2
1753,899,70,63,4
1754,974,62,47,5
1755,849,78,7,1
1756,342,35,7,3
1757,976,40,82,4
1758,854,90,94,2
1759,94,56,39,4
1760,80,42,22,1
1761,237,48,47,1
1762,276,95,11,1
1763,175,44,15,3
1764,974,99,76,1
1765,969,12,44,1
1766,285,16,80,2
1767,333,64,30,2
1768,240,3,13,5
1769,264,37,36,2
1770,677,31,7,5
1771,218,18,81,5
1772,155,78,35,1
1773,866,99,16,2
1774,91,10,49,5
1775,309,71,57,4
1776,806,16,14,3
1777,585,79,51,2
1778,152,32,63,1
1779,281,18,49,5
1780,91,45,46,5
1781,313,40,83,4
1782,66,29,42,2
1783,464,20,73,2
1784,579,55,67,5
1785,780,67,87,1
1786,321,5,54,1
1787,842,57,99,4
1788,891,95,38,1
1789,203,53,49,3
1790,744,66,50,3
1791,488,69,84,4
1792,368,12,86,4
1793,413,13,33,4
1794,459,42,77,3
1795,134,91,20,5
1796,952,82,18,3
1797,572,74,58,3
1798,495,87,65,3
1799,237,98,56,5
1800,378,75,67,2
1801,149,14,58,5
1802,193,17,28,5
1803,226,50,19,3
1804,828,91,29,4
1805,928,58,97,3
1806,576,38,15,4
1807,381,26,80,5
1808,374,90,9,2
1809,561,73,85,3
1810,798,34,18,5
1811,676,3,23,2
1812,226,53,88,3
1813,257,59,27,4
1814,10,63,88,4
1815,795,6,63,2
1816,753,24,16,2
1817,464,56,36,1
1818,102,30,49,2
1819,922,95,5,5
1820,298,61,21,5
1821,246,79,91,3
1822,473,1,47,4
1823,763,71,16,4
1824,492,77,43,3
1825,601,71,100,5
1826,772,38,40,4
1827,830,48,18,4
1828,40,77,21,1
1829,347,65,52,2
1830,619,68,92,3
1831,515,78,51,1
1832,59,63,4,2
1833,556,86,44,5
1834,841,100,17,4
1835,34,76,45,2
1836,245,34,5,3
1837,728,78,12,5
1838,612,19,29,5
1839,181,70,38,4
1840,804,20,40,1
1841,754,57,13,4
1842,775,22,24,3
1843,681,86,57,5
1844,930,93,39,2
1845,75,32,2,4
1846,829,44,53,1
1847,778,29,24,3
1848,351,30,4,2
1849,962,30,67,1
1850,934,64,27,3
1851,615,66,68,1
1852,324,30,85,4
1853,948,60,89,3
1854,742,36,28,5
1855,289,34,97,3
1856,20,68,72,3
1857,709,35,63,3
1858,991,80,32,2
1859,346,15,8,2
1860,448,85,27,1
1861,350,100,84,3
1862,937,99,19,5
1863,379,46,93,1
1864,71,17,10,2
1865,171,72,60,2
1866,159,35,97,3
1867,452,92,51,1
1868,254,1,48,1
1869,665,91,76,4
1870,757,28,58,1
1871,906,30,82,1
1872,760,95,6,4
1873,16,47,22,5
1874,667,25,42,4
1875,408,86,89,2
1876,897,76,91,2
1877,321,30,70,1
1878,279,45,20,4
1879,192,95,35,4
1880,436,87,84,5
1881,128,18,74,3
1882,536,12,29,4
1883,498,95,30,1
1884,600,74,44,4
1885,172,59,12,2
1886,551,36,91,1
1887,350,22,74,1
1888,662,59,94,1
1889,823,88,57,3
1890,661,70,90,3
1891,405,57,33,5
1892,20,9,83,2
1893,803,78,11,1
1894,581,8,47,2
1895,127,10,99,3
1896,222,23,7,5
1897,599,79,74,4
1898,42,62,66,5
1899,537,23,11,5
1900,180,79,57,4
1901,303,57,94,2
1902,821,43,99,4
1903,267,4,97,4
1904,437,25,35,1
1905,59,12,6,1
1906,695,53,46,2
1907,234,99,62,3
1908,260,14,58,4
1909,365,90,83,4
1910,823,8,48,5
1911,357,80,37,1
1912,808,6,33,3
1913,217,16,9,5
1914,472,36,49,5
1915,843,57,23,1
1916,387,14,81,3
1917,826,77,39,4
1918,464,28,31,2
1919,934,2,12,4
1920,935,8,69,3
1921,536,61,4,5
1922,481,32,41,2
1923,169,66,66,4
1924,972,34,57,5
1925,718,85,7,2
1926,423,24,12,3
1927,617,78,94,1
1928,665,70,8,4
1929,361,24,56,4
1930,409,95,84,1
1931,817,32,62,3
1932,380,90,26,5
1933,114,45,36,4
1934,419,54,68,3
1935,662,28,8,2
1936,401,29,19,3
1937,165,3,83,5
1938,51,16,42,2
1939,176,52,88,4
1940,562,10,24,2
1941,507,97,74,2
1942,959,32,23,5
1943,888,6,94,3
1944,918,38,64,2
1945,634,29,41,1
1946,755,32,54,1
1947,681,79,43,2
1948,734,45,83,5
1949,155,66,84,1
1950,545,95,85,2
1951,437,11,38,4
1952,916,51,26,3
1953,846,25,49,3
1954,519,28,31,5
1955,577,22,33,5
1956,48,56,28,5
1957,16,72,98,4
1958,967,33,40,2
1959,731,22,35,5
1960,675,83,81,3
1961,948,14,41,2
1962,786,62,27,3
1963,991,79,3,5
1964,608,20,66,3
1965,691,44,13,2
1966,940,20,19,1
1967,627,89,23,3
1968,314,50,55,5
1969,423,78,17,1
1970,179,57,42,3
1971,760,80,90,4
1972,93,70,40,2
1973,109,81,2,1
1974,665,16,61,2
1975,171,8,24,2
1976,33,84,84,5
1977,975,31,14,2
1978,239,28,87,2
1979,928,4,42,5
1980,60,22,4,3
1981,578,1,40,5
1982,38,74,59,5
1983,21,79,79,2
1984,313,25,5,4
1985,593,37,40,3
1986,975,1,55,1
1987,282,54,71,3
1988,279,76,91,1
1989,381,52,55,1
1990,60,10,43,3
1991,834,17,81,2
1992,232,32,23,2
1993,819,9,94,1
1994,104,20,46,1
1995,344,63,88,2
1996,92,28,22,2
1997,755,67,6,5
1998,498,76,45,4
1999,341,49,40,4
2000,535,56,17,2
2001,576,21,81,2
2002,763,92,16,3
2003,157,74,27,2
2004,367,41,41,1
2005,683,18,6,5
2006,44,59,40,2
2007,700,81,20,2
2008,645,98,26,2
2009,888,34,90,2
2010,304,13,23,1
2011,417,65,25,5
2012,676,80,83,1
2013,677,55,83,1
2014,403,5,16,4
2015,741,54,37,1
2016,675,4,28,5
2017,90,4,100,3
2018,164,51,99,1
2019,978,17,80,2
2020,663,77,58,3
2021,868,64,29,5
2022,473,77,62,3
2023,417,45,43,4
2024,337,67,57,3
2025,852,65,21,1
2026,936,43,69,2
2027,825,13,56,1
2028,782,61,2,3
2029,821,26,5,3
2030,891,50,100,1
2031,301,66,22,4
2032,768,80,26,4
2033,867,52,11,1
2034,134,29,98,1
2035,677,97,85,1
2036,331,16,68,5
2037,598,95,61,4
2038,686,1,58,1
2039,435,38,28,1
2040,771,2,23,3
2041,696,95,24,2
2042,629,67,75,4
2043,226,26,6,4
2044,139,22,61,1
2045,851,71,5,1
2046,737,100,35,1
2047,484,60,93,3
2048,338,13,47,1
2049,23,63,9,5
2050,266,85,3,3
2051,635,78,43,4
2052,553,73,18,3
2053,303,64,67,5
2054,966,40,6,5
2055,892,60,58,1
2056,568,3,51,2
2057,78,55,9,5
2058,605,13,35,5
2059,919,87,41,1
2060,151,86,72,5
2061,300,73,53,4
2062,701,100,91,4
2063,795,31,68,5
2064,683,62,95,3
2065,303,26,1,4
2066,279,9,22,5
2067,665,33,64,1
2068,598,45,2,1
2069,732,69,33,5
2070,669,84,56,1
2071,349,13,14,5
2072,103,93,84,3
2073,920,50,65,2
2074,112,90,41,4
2075,732,29,78,2
2076,127,90,1,1
2077,715,33,36,3
2078,262,15,2,1
2079,545,82,86,5
2080,959,83,57,5
2081,519,56,9,5
2082,553,39,38,4
2083,611,99,39,2
2084,248,39,10,3
2085,322,14,10,1
2086,185,83,99,5
2087,450,41,54,1
2088,875,7,100,5
2089,587,47,82,2
2090,333,48,31,2
2091,409,49,68,5
2092,686,60,32,4
2093,142,37,64,4
2094,137,67,58,1
2095,697,58,71,2
2096,756,81,88,3
2097,505,100,74,1
2098,623,79,19,4
2099,35,77,29,2
2100,449,50,62,4
2101,852,24,20,2
2102,134,56,97,3
2103,117,29,48,2
2104,590,28,55,4
2105,95,66,6,5
2106,114,98,59,3
2107,549,7,24,1
2108,642,30,83,5
2109,51,53,50,2
2110,693,40,26,3
2111,315,66,62,1
2112,899,98,81,3
2113,587,14,74,5
2114,371,8,65,5
2115,471,100,19,4
2116,705,78,56,2
2117,365,95,92,3
2118,30,74,32,5
2119,66,98,77,5
2120,705,31,34,5
2121,679,63,40,5
2122,759,68,46,2
2123,418,38,94,3
2124,258,80,13,2
2125,589,58,97,2
2126,384,82,7,3
2127,346,8,51,1
2128,170,7,66,3
2129,998,11,46,1
2130,361,95,41,5
2131,124,46,89,5
2132,421,1,39,4
2133,663,62,45,3
2134,652,40,7,3
2135,816,42,95,4
2136,652,14,96,1
2137,160,19,48,2
2138,606,53,59,1
2139,407,87,34,2
2140,135,17,40,4
2141,171,4,74,4
2142,216,70,6,2
2143,557,5,60,2
2144,874,10,58,1
2145,352,26,81,2
2146,545,53,8,4
2147,570,60,91,1
2148,402,18,30,5
2149,152,56,16,5
2150,438,38,60,4
2151,89,53,94,2
2152,758,47,59,3
2153,830,21,9,2
2154,482,80,64,5
2155,831,36,79,2
2156,284,20,95,4
2157,133,33,88,5
2158,972,33,18,2
2159,725,61,5,5
2160,411,47,52,3
2161,585,100,94,1
2162,676,90,49,1
2163,812,79,96,4
2164,31,35,99,5
2165,95,2,82,2
2166,287,57,14,2
2167,445,62,65,1
2168,387,12,6,1
2169,604,19,91,3
2170,389,76,22,5
2171,448,84,5,1
2172,823,45,83,1
2173,592,27,36,3
2174,802,7,56,2
2175,828,94,64,3
2176,787,45,60,1
2177,420,25,96,5
2178,546,17,61,3
2179,228,2,63,3
2180,576,3,19,5
2181,69,83,61,4
2182,766,29,53,5
2183,234,55,67,2
2184,89,63,45,1
2185,171,15,19,4
2186,210,25,39,3
2187,60,39,40,5
2188,517,96,49,5
2189,389,28,84,1
2190,154,48,51,1
2191,71,3,8,3
2192,578,53,57,5
2193,880,21,56,2
2194,961,12,5,5
2195,107,78,5,5
2196,193,91,55,3
2197,649,46,5,2
2198,947,59,85,3
2199,303,46,8,5
2200,178,99,13,4
2201,132,76,52,4
2202,253,17,36,1
2203,990,70,69,4
2204,950,5,15,5
2205,388,10,56,2
2206,86,68,1,1
2207,674,6,65,2
2208,417,77,49,3
2209,421,66,3,3
2210,342,3,18,5
2211,107,5,96,5
2212,603,55,73,5
2213,322,12,40,3
2214,244,17,10,1
2215,187,62,80,2
2216,681,59,55,1
2217,480,34,93,4
2218,82,44,29,4
2219,356,65,79,5
2220,993,33,25,4
2221,876,97,84,4
2222,232,49,40,4
2223,415,74,98,4
2224,189,2,80,1
2225,341,82,74,2
2226,426,74,58,2
2227,835,53,81,1
2228,868,19,6,5
2229,695,90,14,4
2230,422,46,55,4
2231,409,62,52,3
2232,997,6,14,4
2233,679,77,40,5
2234,141,2,16,4
2235,950,58,88,3
2236,908,13,100,3
2237,216,36,36,2
2238,673,74,49,4
2239,424,59,36,5
2240,598,35,58,2
2241,170,66,48,1
2242,558,32,58,2
2243,218,7,75,5
2244,34,26,36,3
2245,783,5,57,4
2246,268,34,70,4
2247,572,42,80,1
2248,738,52,62,1
2249,493,45,14,2
2250,268,92,42,1
2251,603,70,52,1
2252,295,32,1,3
2253,501,91,29,2
2254,737,10,3,2
2255,589,11,95,1
2256,182,58,48,1
2257,100,4,63,4
2258,555,37,41,1
2259,526,26,90,4
2260,204,28,3,3
2261,863,13,58,3
2262,892,32,60,4
2263,812,81,43,4
2264,753,30,92,2
2265,576,33,19,1
2266,276,19,20,4
2267,254,39,31,3
2268,560,60,59,3
2269,432,7,62,5
2270,90,18,9,4
2271,180,78,52,4
2272,222,58,29,1
2273,406,37,82,4
2274,23,39,65,5
2275,672,31,80,2
2276,934,27,3,2
2277,162,56,89,4
2278,464,67,57,5
2279,667,89,68,5
2280,933,2,100,4
2281,723,21,29,1
2282,881,64,5,2
2283,239,6,90,1
2284,263,1,23,5
2285,146,3,86,2
2286,505,42,68,2
2287,246,92,76,1
2288,763,52,32,4
2289,416,94,21,4
2290,977,81,65,1
2291,936,39,31,2
2292,784,89,77,1
2293,695,16,97,2
2294,400,6,14,1
2295,675,97,73,3
2296,579,64,21,4
2297,509,37,32,1
2298,433,21,65,2
2299,748,64,24,2
2300,411,1,27,3
2301,206,93,79,5
2302,911,83,38,4
2303,754,33,90,4
2304,848,15,19,4
2305,957,65,38,1
2306,346,79,7,5
2307,491,27,11,5
2308,256,9,32,3
2309,811,49,88,3
2310,309,93,86,5
2311,859,79,77,2
2312,155,92,70,1
2313,946,86,69,2
2314,338,6,51,4
2315,649,24,52,2
2316,128,31,32,1
2317,805,18,87,1
2318,146,45,96,1
2319,335,69,67,2
2320,755,95,82,5
2321,947,29,32,4
2322,860,81,14,5
2323,708,60,75,1
2324,681,65,26,4
2325,875,64,17,2
2326,63,86,72,5
2327,481,22,85,1
2328,389,20,17,5
2329,838,68,55,4
2330,197,41,73,3
2331,516,31,61,3
2332,466,80,83,5
2333,832,94,71,5
2334,114,41,84,3
2335,674,71,70,5
2336,369,15,88,2
2337,728,14,12,4
2338,414,31,89,2
2339,56,8,97,2
2340,683,87,64,2
2341,278,70,25,4
2342,943,87,30,1
2343,778,98,40,3
2344,148,100,2,5
2345,549,23,98,1
2346,375,26,36,3
2347,350,18,53,1
2348,446,47,88,1
2349,510,13,51,3
2350,147,7,99,2
2351,257,48,8,3
2352,667,87,60,3
2353,421,47,43,3
2354,787,82,20,5
2355,822,86,65,4
2356,425,14,46,2
2357,264,5,76,5
2358,518,67,33,4
2359,600,32,100,5
2360,441,26,93,1
2361,351,38,6,3
2362,212,48,42,5
2363,227,11,1,3
2364,916,52,85,2
2365,745,83,17,4
2366,129,74,7,5
2367,727,73,93,2
2368,436,71,12,2
2369,517,25,35,1
2370,381,75,63,4
2371,722,24,12,4
2372,45,92,100,1
2373,240,24,6,4
2374,198,28,4,4
2375,398,9,81,3
2376,348,74,45,4
2377,679,82,51,5
2378,863,78,87,4
2379,19,4,78,3
2380,466,4,99,5
2381,488,33,99,3
2382,757,28,25,4
2383,543,89,100,2
2384,859,87,10,2
2385,710,54,35,5
2386,16,33,41,5
2387,242,13,82,1
2388,344,91,83,1
2389,10,100,31,5
2390,248,14,24,3
2391,77,19,19,3
2392,560,7,30,2
2393,423,37,38,3
2394,878,98,91,5
2395,498,74,34,3
2396,115,84,96,2
2397,69,71,30,5
2398,305,32,33,4
2399,172,85,79,5
2400,131,72,64,2
2401,132,33,8,1
2402,911,77,20,1
2403,823,87,55,1
2404,87,18,96,3
2405,254,74,86,1
2406,177,45,86,3
2407,23,22,52,1
2408,772,84,94,3
2409,911,2,82,5
2410,890,99,20,4
2411,291,51,29,5
2412,383,96,40,4
2413,549,45,16,3
2414,695,71,17,1
2415,317,45,51,5
2416,799,66,74,3
2417,649,67,16,1
2418,552,41,9,4
2419,383,23,42,1
2420,49,96,28,2
2421,957,27,96,5
2422,359,74,5,4
2423,187,86,40,1
2424,949,71,15,3
2425,766,83,11,3
2426,982,63,39,3
2427,778,48,35,4
2428,632,63,20,4
2429,154,46,94,3
2430,919,75,89,5
2431,629,70,81,5
2432,78,83,34,3
2433,320,68,64,5
2434,362,62,15,5
2435,601,69,82,3
2436,388,25,14,3
2437,204,97,24,4
2438,307,57,65,5
2439,605,59,70,3
2440,369,76,83,4
2441,212,20,47,3
2442,803,48,19,2
2443,118,52,89,3
2444,349,20,69,3
2445,35,8,70,3
2446,323,86,6,4
2447,614,37,25,1
2448,393,21,9,3
2449,155,21,30,3
2450,98,24,92,5
2451,15,40,49,2
2452,132,82,31,2
2453,927,12,17,3
2454,967,59,21,4
2455,744,25,55,3
2456,886,29,56,1
2457,539,88,20,4
2458,174,31,92,3
2459,334,21,38,5
2460,762,12,34,1
2461,953,51,74,3
2462,602,58,89,1
2463,59,32,26,3
2464,470,22,23,5
2465,747,9,92,3
2466,429,70,35,2
2467,962,63,45,5
2468,494,20,36,5
2469,911,56,57,2
2470,765,44,82,2
2471,348,73,44,4
2472,850,84,37,5
2473,796,80,95,4
2474,627,34,75,3
2475,807,5,85,4
2476,401,45,6,1
2477,408,7,68,2
2478,456,59,75,3
2479,363,62,64,3
2480,194,67,75,2
2481,550,12,21,3
2482,299,49,75,1
2483,488,39,22,1
2484,968,54,72,2
2485,958,62,43,5
2486,480,30,90,5
2487,530,54,71,4
2488,259,69,45,4
2489,132,52,21,3
2490,10,6,4,1
2491,978,36,25,2
2492,667,39,84,1
2493,555,74,16,5
2494,731,94,61,3
2495,734,71,77,5
2496,976,42,58,2
2497,348,94,65,3
2498,77,50,90,1
2499,128,11,33,5
2500,818,62,60,2
2501,400,20,48,3
2502,856,59,35,2
2503,871,86,9,1
2504,779,36,85,4
2505,190,28,44,5
2506,174,74,71,4
2507,540,12,64,1
2508,204,29,22,3
2509,51,75,33,5
2510,564,71,86,5
2511,670,74,44,2
2512,954,27,72,4
2513,931,20,53,1
2514,266,54,6,5
2515,729,11,13,4
2516,310,82,54,3
2517,569,6,61,1
2518,174,71,38,4
2519,621,90,97,3
2520,731,13,93,1
2521,765,73,60,1
2522,200,33,67,3
2523,627,3,61,2
2524,495,41,53,2
2525,341,14,52,4
2526,205,82,81,2
2527,194,78,9,2
2528,442,51,66,5
2529,443,75,28,5
2530,563,14,35,1
2531,934,90,93,2
2532,507,29,33,4
2533,740,84,4,5
2534,480,32,34,5
2535,922,5,2,1
2536,557,63,75,1
2537,490,33,9,4
2538,973,34,52,1
2539,618,29,24,3
2540,489,48,43,4
2541,84,76,11,3
2542,839,85,24,1
2543,203,26,51,5
2544,771,38,7,5
2545,581,47,12,4
2546,46,41,6,3
2547,836,39,12,4
2548,54,55,44,5
2549,846,26,27,1
2550,427,40,4,4
2551,455,87,58,2
2552,575,66,34,2
2553,322,62,11,5
2554,373,24,10,3
2555,769,100,97,5
2556,971,57,87,3
2557,605,29,71,3
2558,292,85,64,4
2559,461,30,49,2
2560,760,27,29,1
2561,325,10,93,3
2562,65,12,49,1
2563,914,55,62,1
2564,551,7,25,2
2565,350,23,86,3
2566,564,11,52,4
2567,108,91,2,4
2568,965,54,38,5
2569,607,70,8,1
2570,686,40,94,5
2571,580,35,13,1
2572,586,75,77,5
2573,412,17,88,3
2574,652,20,90,4
2575,627,28,14,2
2576,316,85,21,3
2577,910,67,77,3
2578,680,30,31,4
2579,192,16,76,2
2580,479,21,23,4
2581,621,95,5,5
2582,333,46,47,2
2583,156,45,99,5
2584,217,21,14,5
2585,211,35,77,5
2586,431,84,57,5
2587,30,32,4,1
2588,451,39,82,2
2589,887,4,9,3
2590,543,41,92,4
2591,394,63,83,1
2592,142,98,94,1
2593,754,45,95,3
2594,680,82,37,1
2595,939,43,28,4
2596,339,22,71,4
2597,768,93,93,5
2598,212,4,80,2
2599,741,32,7,2
2600,393,25,29,2
2601,311,96,99,5
2602,646,5,72,2
2603,977,41,38,2
2604,804,63,44,4
2605,871,86,19,4
2606,949,55,22,4
2607,333,28,76,3
2608,400,49,61,1
2609,450,25,75,2
2610,236,93,6,2
2611,307,29,48,2
2612,176,67,36,1
2613,406,96,6,5
2614,588,58,89,4
2615,160,2,60,2
2616,668,80,42,1
2617,704,29,42,3
2618,510,26,1,5
2619,695,14,67,4
2620,48,51,37,4
2621,980,32,43,3
2622,507,86,91,3
2623,720,36,59,3
2624,800,72,87,3
2625,462,94,48,2
2626,392,48,97,4
2627,700,69,9,5
2628,865,100,49,3
2629,78,12,55,1
2630,423,73,88,5
2631,212,23,83,1
